Genre,Runtime,Studio,movienane,year
Action,112 minutes,Universal Pictures,The Mummy: Tomb of the Dragon Emperor,2008
Action,111 minutes,Freestyle Releasing,The Masked Saint,2016
Action,80 minutes,Hollywood Pictures,Spy Hard,1996
Action,149 minutes,Vitagraph Films,Der Baader Meinhof Komplex (The Baader Meinhof Complex),2008
Action,153 minutes,United Artists,Apocalypse Now,1979
Action,106 minutes,Liongate Films,Mortdecai,2015
Action,131 minutes,Summit Entertainment,The Hurt Locker,2009
Action,82 minutes,Studio Not Available,The Little Vampire 3D,2017
Action,88 minutes,Columbia Pictures,The Fortune,1975
Action,108 minutes,Fox,Heaven Knows Mr. Allison,1957
Action,108 minutes,Miramax,The Glass Shield,1994
Action,77 minutes,Anchor Bay Entertainment,The Haunted World of El Superbeasto,2009
Action,71 minutes,MCA Universal Home Video,The Land Before Time III: The Time of Great Giving,1995
Action,93 minutes,Anchor Bay Entertainment,Dirty Mary Crazy Larry,1974
Action,145 minutes,20th Century Fox,Doctor Dolittle,1967
Action,97 minutes,20th Century Fox,Street Fighter: The Legend of Chun-Li,2009
Action,129 minutes,Sony Pictures Entertainment,Marooned,1969
Action,105 minutes,Disney,Never Cry Wolf,1983
Action,100 minutes,Universal Pictures,Empire,2002
Action,125 minutes,IDP Distribution,Shiri,2002
Action,112 minutes,Warner Bros. Pictures,Falling Down,1993
Action,120 minutes,Arcos Pictures,Switch,2012
Action,120 minutes,Touchstone Pictures,Ransom,1996
Action,91 minutes,20th Century Fox,Taken,2009
Action,126 minutes,Liberty Studios,Walking With The Enemy,2014
Action,103 minutes,Buena Vista Pictures,101 Dalmatians,1996
Action,94 minutes,Saban Films and Lionsgate,Braven,2018
Action,117 minutes,Warner Bros. Pictures,Ocean's Eleven,2001
Action,60 minutes,Focus Film Entertainment,Terror by Night,1946
Action,86 minutes,Paramount Pictures,Sherlock Gnomes,2018
Action,115 minutes,Warner Home Video,Eraser,1996
Action,86 minutes,United Artists,Paths of Glory,1957
Action,87 minutes,Buena Vista,The Lion King,1994
Action,90 minutes,Thatcher Productions,Elimination Game (Turkey Shoot),2014
Action,98 minutes,Warner Bros. Pictures,The Losers,2010
Action,121 minutes,MGM/UA,One Man's Hero,1999
Action,118 minutes,Netflix,Okja,2017
Action,85 minutes,American International Pictures,The Trip,1967
Action,100 minutes,Warner Bros. Pictures,The Clan of the Cave Bear,1986
Action,105 minutes,Oscilloscope Laboratories,Bellflower,2011
Action,103 minutes,Abramorama Inc.,The Gatekeeper,2001
Action,118 minutes,Warner Home Video,Lethal Weapon 3,1992
Action,112 minutes,Paramount Home Video,Escape From Alcatraz,1979
Action,91 minutes,Universal Pictures,Babe,1995
Action,123 minutes,Universal Pictures,The Eiger Sanction,1975
Action,146 minutes,Walt Disney Pictures,Captain America: Civil War,2016
Action,99 minutes,Warner Bros.,Cradle 2 the Grave,2003
Action,95 minutes,Lionsgate Films,Dredd,2012
Action,153 minutes,United Artists,The Thief of Bagdad,1924
Action,88 minutes,American International Pictures,Destroy All Monsters,1969
Action,122 minutes,Warner Home Video,Outbreak,1995
Action,117 minutes,Buena Vista Pictures,Bedknobs and Broomsticks,1971
Action,109 minutes,Universal Pictures,McHale's Navy,1997
Action,97 minutes,20th Century Fox,A Good Day To Die Hard,2013
Action,94 minutes,Paramount Pictures,Clockstoppers,2002
Action,105 minutes,20th Century Fox,Night at the Museum 2: Battle of the Smithsonian,2009
Action,110 minutes,Pure Flix Entertainment,Samson,2018
Action,149 minutes,Paramount/Dreamworks,Transformers: Revenge of the Fallen,2009
Action,100 minutes,Sony Pictures,Salt,2010
Action,77 minutes,Cinedigm,Antboy,2014
Action,181 minutes,Orion Pictures,Dances With Wolves,1990
Action,101 minutes,Columbia Pictures,Trapped,2002
Action,101 minutes,Magnolia Pictures,Into the White,2013
Action,92 minutes,Miramax,The Adventures of Sharkboy and Lavagirl in 3-D,2005
Action,95 minutes,Federighi Films,The Last Survivors (The Well),2014
Action,103 minutes,Magnolia Pictures,Dynamite Warrior,2007
Action,95 minutes,20th Century Fox,Walkabout,1971
Action,80 minutes,Criterion Collection,Safety Last!,1923
Action,110 minutes,Warner Bros. Pictures,Every Which Way But Loose,1978
Action,122 minutes,Warner Bros. Pictures,The Getaway,1972
Action,103 minutes,IFC Films,Gangster No. 1,2000
Action,88 minutes,Xlrator Media,Mateo,2015
Action,86 minutes,The Weinstein Co./Dimension,Planet Terror (Grindhouse Presents: Robert Rodriguez's Planet Terror),2007
Action,123 minutes,Relativity Media,Machine Gun Preacher,2011
Action,100 minutes,MCA Universal Home Video,Nighthawks,1981
Action,110 minutes,Media Blasters,Tky Zankoku Keisatsu (Tokyo Gore Police),2008
Action,114 minutes,Edko Films,Cold War 2,2016
Action,116 minutes,Warner Bros. Pictures,Any Which Way You Can,1980
Action,177 minutes,Warner Home Video,The Postman,1997
Action,100 minutes,Dreamworks Pictures,Hotel for Dogs,2009
Action,122 minutes,Warner Home Video,Beyond the Poseidon Adventure,1979
Action,114 minutes,Universal Studios,A Walk Among the Tombstones,2014
Action,90 minutes,Mangusta Productions,Fix,2009
Action,Runtime Not Available,RLJE Films,Mayhem,2017
Action,120 minutes,Studio Not Available,Mojin - The Lost Legend,2015
Action,117 minutes,Tango Entertainment,Zulu Dawn,1979
Action,89 minutes,TriStar Pictures,Supergirl,1984
Action,99 minutes,Variance Films/Well Go USA,Tai Chi Zero,2012
Action,91 minutes,20th Century Fox,Snatched,2017
Action,105 minutes,Studio Not Available,Orange Sunshine,2016
Action,112 minutes,Warner Bros. Pictures,Fool's Gold,2008
Action,118 minutes,Columbia Pictures,Force 10 From Navarone,1978
Action,121 minutes,Netflix,The Night Comes For Us,2018
Action,95 minutes,Warner Bros. Pictures,Soldier,1998
Action,97 minutes,Buena Vista,The Last Flight of Noah's Ark,1980
Action,107 minutes,MGM,Futureworld,1976
Action,122 minutes,Warner Bros. Pictures,Ocean's Thirteen,2007
Action,165 minutes,Paramount Pictures,Once Upon a Time in the West,1968
Action,123 minutes,Buffalo Films,Embrace Of The Serpent (El Abrazo De La Serpiente),2016
Action,144 minutes,Warner Home Video,When Time Ran Out,1980
Action,119 minutes,MCA Universal Home Video,Back to the Future Part III,1990
Action,96 minutes,Relativity Europacorp Distribution,The Transporter Refueled,2015
Action,112 minutes,Lionsgate/Summit Entertainment,Snitch,2013
Action,102 minutes,Haut et Court,They Came Back,2004
Action,154 minutes,Sony Pictures Entertainment,Lord Jim,1965
Action,138 minutes,Indomina Releasing,Bodyguards and Assassins (Shi yue wei cheng),2010
Action,113 minutes,Summit Entertainment,Never Back Down,2008
Action,120 minutes,Universal Pictures,The Mummy,2017
Action,120 minutes,Warner Bros.,Mad Max: Fury Road,2015
Action,87 minutes,20th Century Fox,Fantastic Mr. Fox,2009
Action,135 minutes,Marvel Studios,Black Panther,2018
Action,138 minutes,Paramount Pictures,Face/Off,1997
Action,74 minutes,Walt Disney Productions,DuckTales: The Movie - Treasure of the Lost Lamp,1990
Action,92 minutes,20th Century Fox,Hitman,2007
Action,86 minutes,20th Century Fox,Dr. Seuss' Horton Hears a Who!,2008
Action,108 minutes,Lionsgate,The Devil's Double,2011
Action,107 minutes,Warner Bros,Dumb and Dumber,1994
Action,84 minutes,20th Century Fox,Paparazzi,2004
Action,111 minutes,Warner Bros. Pictures,Blood Work,2002
Action,115 minutes,Criterion Collection,The League of Gentlemen,1959
Action,95 minutes,Buena Vista Distribution Compa,Treasure Planet,2002
Action,97 minutes,United Artists,Trail of the Pink Panther,1982
Action,98 minutes,20th Century Fox,Buffy the Vampire Slayer,1992
Action,109 minutes,Walt Disney Productions,The Rocketeer,1991
Action,128 minutes,Paramount Pictures,Nevada Smith,1966
Action,95 minutes,HBO Video,Rent-A-Cop,1988
Action,117 minutes,Paramount Pictures,Star Trek Generations,1994
Action,92 minutes,Anchor Bay Entertainment,The 10th Victim (La Decima vittima) (The Tenth Victim),1965
Action,127 minutes,Paramount Pictures,Stardust,2007
Action,107 minutes,Warner Bros. Pictures,Spartan,2004
Action,26 minutes,Sony Pictures,The Snowman,1982
Action,103 minutes,Lionsgate,The Young Americans,1993
Action,113 minutes,Sony Pictures Home Entertainment,Cliffhanger,1993
Action,95 minutes,Warner Bros.,Exit Wounds,2001
Action,Runtime Not Available,Minds Eye International,Distorted,2018
Action,132 minutes,Phaedra Cinema,"South of Heaven, West of Hell",2000
Action,95 minutes,Warner Home Video,The Dukes of Hazzard: The Beginning,2007
Action,98 minutes,Magnolia Pictures,Blackthorn,2011
Action,75 minutes,Walt Disney Pictures,"Honey, We Shrunk Ourselves!",1997
Action,105 minutes,Columbia Pictures,The Golden Voyage of Sinbad,1974
Action,91 minutes,Universal Pictures,K-911,1999
Action,148 minutes,Magnolia Pictures,Red Cliff (Chi Bi),2009
Action,118 minutes,Paramount Pictures,Jack Reacher: Never Go Back,2016
Action,86 minutes,BBC Films,Shifty,2008
Action,103 minutes,Entertainment Studios Motion Pictures,The Hurricane Heist,2018
Action,114 minutes,New Line Home Entertainment,Mother Night,1996
Action,87 minutes,Apparition,The Boondock Saints II: All Saints Day,2009
Action,112 minutes,Walt Disney Pictures/PIXAR,Cars 2,2011
Action,93 minutes,Twentieth Century Fox Home Entertainment,Broken Arrow,1950
Action,145 minutes,Warner Bros. Pictures,The Wild Bunch,1969
Action,135 minutes,Warner Bros.,Pan,2015
Action,117 minutes,Sony Pictures Releasing,RoboCop,2014
Action,82 minutes,Walt Disney Productions,The Black Cauldron,1985
Action,135 minutes,Warner Home Video,Conspiracy Theory,1997
Action,87 minutes,MGM Home Entertainment,Flipper,1963
Action,99 minutes,Artisan Home Entertainment,Run for the Money,2002
Action,125 minutes,Sparkle Roll Media,Railroad Tigers,2017
Action,96 minutes,Sony Pictures Classics,Land Ho!,2014
Action,110 minutes,Twentieth Century Fox Home Entertainment,Romancing the Stone,1984
Action,107 minutes,Sony Pictures,Risen,2016
Action,90 minutes,TriStar,Knock Off,1998
Action,127 minutes,Sony Pictures Home Entertainment,In the Line of Fire,1993
Action,101 minutes,Warner Home Video,The Mercenaries (Dark of the Sun),1968
Action,116 minutes,Warner Bros.,True Romance,1993
Action,90 minutes,KnightMarcher,"My Father, Die",2017
Action,108 minutes,LionsGate Entertainment,Wong Fei-hung chi tit gai dau neung gung (Deadly China Hero) (Claws of Steel) (Last Hero in China),1993
Action,129 minutes,Warner Bros. Pictures,The Man Who Would Be King,1975
Action,105 minutes,Studio Not Available,49th Parallel (The Invaders),1941
Action,116 minutes,CJ Entertainment,No Tears For The Dead,2014
Action,105 minutes,Universal Pictures,The Purge: Election Year,2016
Action,104 minutes,Radius-TWC,Erased,2013
Action,91 minutes,Warner Bros. Pictures,Bullet to the Head,2013
Action,131 minutes,Variance Films,Shaolin,2011
Action,87 minutes,Lionsgate,Crank,2006
Action,77 minutes,RLJ Entertainment,Kill Order,2018
Action,92 minutes,Lionsgate/Saban Films,The Forger,2015
Action,119 minutes,Sony Pictures,Looper,2012
Action,129 minutes,Warner Bros. Pictures,Maverick,1994
Action,112 minutes,Warner Bros. Pictures,White Hunter Black Heart,1990
Action,108 minutes,Walt Disney Animation Studios,Zootopia,2016
Action,129 minutes,Universal Pictures,The Interpreter,2005
Action,119 minutes,Focus Features,Brick,2006
Action,125 minutes,United Artists,The World Is Not Enough,1999
Action,111 minutes,Universal Pictures,Pacific Rim Uprising,2018
Action,106 minutes,TriStar/FilmDistrict,Soul Surfer,2011
Action,94 minutes,Universal Pictures,Bustin' Loose,1981
Action,89 minutes,Disney,That Darn Cat,1997
Action,128 minutes,New Line Cinema,Domino,2005
Action,106 minutes,Miramax,Mindhunters,2005
Action,105 minutes,MGM Home Entertainment,It Happened at the World's Fair,1963
Action,111 minutes,Warner Bros. Pictures,Max,2015
Action,94 minutes,MGM,Cherry 2000,1988
Action,90 minutes,The Asylum,Mega Shark vs. Giant Octopus,2009
Action,115 minutes,MCA Universal Home Video,Daylight,1996
Action,151 minutes,Warner Bros. Pictures,Batman v Superman: Dawn of Justice,2016
Action,99 minutes,Paradox Film 3,The Last King,2016
Action,120 minutes,Twentieth Century Fox Home Entertainment,The Mighty Quinn,1989
Action,135 minutes,MCA Universal Home Video,Waterworld,1995
Action,152 minutes,Warner Home Video,Sphere,1998
Action,100 minutes,MGM,Agent Cody Banks 2: Destination London,2004
Action,100 minutes,Roadside Attractions,'71,2015
Action,94 minutes,Millenium Entertainment,Ninja: Shadow of a Tear,2013
Action,96 minutes,Warner Home Video,Hard to Kill,1990
Action,85 minutes,MGM Home Entertainment,All Dogs Go To Heaven,1989
Action,101 minutes,MGM Home Entertainment,Missing in Action,1984
