,title,runtime,maturity,studio,Genre,avg_votes,votes,country
0,Marooned,129.0,All,Sony Pictures Entertainment,Action,5.9,4524.0,USA
1,Dredd,95.0,18+,Lionsgate Films,Action,7.1,246284.0,"UK, South Africa, USA, India"
3,Back to the Future Part III,118.0,7+,MCA Universal Home Video,Action,7.4,393950.0,USA
6,Never Back Down,113.0,13+,Summit Entertainment,Action,6.6,94632.0,USA
7,The Devil's Double,108.0,18+,Lionsgate,Action,7.1,59707.0,"Belgium, Netherlands"
9,Cliffhanger,112.0,18+,Sony Pictures Home Entertainment,Action,6.4,117604.0,"USA, Italy, France"
11,The Boondock Saints II: All Saints Day,138.0,18+,Apparition,Action,6.3,60835.0,USA
12,Kill Order,77.0,16+,RLJ Entertainment,Action,4.1,764.0,Canada
13,'71,99.0,18+,Roadside Attractions,Action,7.2,49740.0,UK
14,Reset,106.0,13+,Well Go USA Entertainment,Action,5.3,999.0,China
15,American Ultra,95.0,18+,Lionsgate Pictures,Action,6.1,82946.0,"USA, Switzerland"
16,Convoy,111.0,7+,Lionsgate,Action,6.4,14811.0,USA
18,Beowulf,114.0,13+,Paramount Pictures,Action,6.2,159693.0,"USA, UK"
20,24 Hours to Live,93.0,18+,Saban Films,Action,5.8,12069.0,"South Africa, China, USA"
21,Tarzan,94.0,7+,Buena Vista Pictures,Action,4.8,12043.0,"Germany, USA"
23,Captain America: The First Avenger,124.0,13+,Paramount Pictures,Action,6.9,723473.0,USA
25,The Shootist,99.0,7+,Paramount Home Video,Action,7.6,21629.0,USA
26,The Vikings,116.0,13+,MGM Home Entertainment,Action,7.1,12645.0,USA
27,The Return of Swamp Thing,87.0,13+,Sony Pictures Home Entertainment,Action,4.7,4174.0,USA
28,Gone in 60 Seconds,97.0,16+,H.B. Halicki Mercantile Co.,Action,6.4,8156.0,USA
29,The A-Team,118.0,13+,20th Century Fox,Action,6.7,243142.0,"USA, UK"
31,The Expendables 3,126.0,13+,Lionsgate Pictures,Action,6.1,165983.0,"USA, France, Germany, Bulgaria"
33,Biker Boyz,110.0,13+,Dreamworks Distribution LLC,Action,4.7,12621.0,USA
34,The Last Stand,107.0,18+,Lionsgate Films,Action,6.3,131686.0,USA
36,Vikingdom,115.0,16+,Epic Pictures Releasing,Action,3.3,3197.0,"Malaysia, USA"
37,Kill Command,99.0,16+,Vertigo Films,Action,5.7,12864.0,UK
38,The Time Machine,95.0,13+,MGM Home Entertainment,Action,6.0,117239.0,"USA, United Arab Emirates"
42,The African Queen,105.0,13+,Twentieth Century Fox Home Entertainment,Action,7.7,70236.0,"UK, USA"
43,Platoon,119.0,13+,Orion Pictures,Action,8.1,373386.0,"USA, UK"
45,Donovan's Reef,108.0,7+,Paramount Pictures,Action,6.9,7598.0,USA
46,The Final Countdown,102.0,7+,Live Home Video,Action,6.7,20927.0,USA
48,Hot Rod,87.0,13+,Paramount Pictures,Action,6.7,75710.0,USA
50,The Day After Tomorrow,123.0,13+,20th Century Fox,Action,6.4,408418.0,USA
52,The Spy Next Door,94.0,7+,Lionsgate,Action,5.4,39646.0,USA
54,Mad Max,93.0,18+,s,Action,6.9,187876.0,"Australia, USA"
56,The Colony,94.0,16+,Image Entertainment,Action,5.3,42548.0,"Canada, USA"
57,True Grit,128.0,All,Paramount Pictures,Action,7.6,305020.0,USA
59,Thunderheart,119.0,18+,Sony Pictures Home Entertainment,Action,6.8,13704.0,USA
61,Star Trek II: The Wrath of Khan,113.0,16+,Paramount Pictures,Action,7.7,110769.0,USA
64,1492: Conquest of Paradise,150.0,13+,Paramount Home Video,Action,6.5,27667.0,"UK, France, Spain"
65,The Black Hole,111.0,13+,Walt Disney Productions,Action,6.0,22902.0,USA
66,Lord of War,121.0,18+,Lions Gate,Action,7.6,289908.0,"USA, Germany, France"
67,Open Range,138.0,18+,Buena Vista Pictures,Action,7.4,65567.0,USA
70,The Darjeeling Limited,91.0,18+,Fox Searchlight Pictures,Action,7.2,176784.0,USA
71,Dragonslayer,109.0,7+,Paramount Pictures,Action,6.7,14686.0,"USA, UK"
72,Shaft,99.0,18+,Paramount Pictures,Action,6.4,41924.0,USA
78,The Beastmaster,118.0,13+,MGM Home Entertainment,Action,6.2,20053.0,"USA, West Germany"
80,Saturn 3,87.0,18+,Associated Film Distribution,Action,5.2,8178.0,UK
81,The Angry Red Planet,83.0,13+,American International Pictures (AIP),Action,5.3,2782.0,USA
82,Crocodile Dundee in Los Angeles,94.0,13+,Paramount,Action,4.8,23190.0,"Australia, USA"
83,Scorched Earth,93.0,18+,"Lighthouse Pictures, Inc.",Action,4.5,2519.0,"Canada, USA"
84,Out of Time,92.0,16+,MGM/UA,Action,6.5,56049.0,USA
85,Paycheck,118.0,13+,Paramount Pictures,Action,6.3,101841.0,"USA, Canada"
87,Hondo,84.0,7+,Batjac Productions Inc.,Action,7.1,9207.0,USA
88,Hotel Artemis,93.0,18+,Global Road Entertainment,Action,6.1,42145.0,"UK, USA"
90,The Terminator,107.0,18+,Orion Pictures Corporation,Action,8.0,784356.0,"UK, USA"
92,Hard Rain,96.0,18+,Paramount Home Video,Action,5.9,31649.0,"USA, UK, Denmark, France, Japan, New Zealand, Germany, Australia"
93,Star Trek: The Motion Picture,131.0,All,Paramount Home Video,Action,6.4,79886.0,USA
95,Warlock,103.0,18+,Trimark,Action,6.2,14631.0,USA
97,The Lost World,98.0,7+,eRealBiz,Action,3.9,788.0,"Canada, USA"
101,Solarbabies,94.0,13+,MGM Home Entertainment,Action,4.8,3930.0,USA
102,Australia,165.0,13+,20th Century Fox,Action,6.6,117975.0,"UK, Australia, USA"
106,The Great Escape,172.0,13+,United Artists,Action,8.2,219677.0,USA
107,The Prestige,130.0,13+,Buena Vista Pictures,Action,8.5,1155723.0,"UK, USA"
109,The Phantom,100.0,13+,Paramount Home Video,Action,4.9,31891.0,"Australia, USA"
112,Black Moon Rising,99.0,18+,Starmaker Entertainment,Action,5.5,5095.0,USA
113,Robot Overlords,90.0,13+,Vertical Entertainment,Action,4.6,6593.0,"UK, Canada"
114,Max Payne,99.0,13+,20th Century Fox,Action,5.4,120941.0,"USA, Canada"
116,Survivor,92.0,13+,Alchemy,Action,4.0,1867.0,USA
119,In the Name of the King: A Dungeon Siege Tale,121.0,13+,Freestyle Releasing,Action,3.8,43913.0,"Germany, Canada, USA"
120,The Monster Squad,82.0,13+,Vestron Video,Action,7.1,27232.0,USA
121,Warrior,139.0,13+,Lionsgate,Action,8.2,427585.0,USA
123,Inception,148.0,13+,Warner Bros. Pictures,Action,8.8,2002816.0,"USA, UK"
126,Enemy at the Gates,131.0,18+,Paramount Pictures,Action,7.6,238274.0,"Ireland, UK, France, Germany, USA"
127,The Man Who Shot Liberty Valance,123.0,13+,Paramount Home Video,Action,8.1,67255.0,USA
128,The Program,112.0,18+,Buena Vista,Action,6.5,15977.0,"UK, USA, France"
132,Jabberwocky,105.0,7+,Sony Pictures Entertainment,Action,6.2,12901.0,UK
133,Hancock,92.0,13+,Columbia Pictures,Action,6.4,437405.0,USA
135,Unlocked,98.0,18+,Lionsgate Premiere,Action,6.2,28056.0,"Czech Republic, Switzerland, UK, USA, France"
136,Support Your Local Gunfighter,92.0,13+,United Artists,Action,6.9,4976.0,USA
137,Papillon,133.0,18+,Twentieth Century Fox Home Entertainment,Action,7.2,49312.0,"Czech Republic, Spain"
139,The Peacemaker,123.0,18+,Dreamworks,Action,5.9,53180.0,USA
141,Escape Plan 2: Hades,93.0,18+,Summit Entertainment,Action,3.8,26813.0,"China, USA"
142,7 Guardians of the Tomb,90.0,18+,Gravitas Ventures,Action,4.4,3087.0,"China, Australia, Russia, Thailand"
143,Cool World,101.0,13+,Paramount Home Video,Action,4.9,20371.0,USA
144,Clear and Present Danger,141.0,13+,Paramount Home Video,Action,6.9,87565.0,"USA, Mexico"
145,Resident Evil: Afterlife,96.0,16+,Sony Pictures/Screen Gems,Action,5.8,159831.0,"Germany, France, Canada, UK, China, USA"
146,Shottas,98.0,18+,Sony Pictures,Action,6.2,3993.0,"USA, Jamaica"
147,Iron Eagle,116.0,13+,TriStar Pictures,Action,5.5,13106.0,"USA, Israel, Canada"
148,Shooter,125.0,18+,Paramount Pictures,Action,6.5,101.0,India
152,Iron Sky,92.0,18+,Entertainment One Pictures,Action,5.9,90446.0,"Finland, Germany, Australia, France, Norway, Belgium, Denmark, UK"
153,Virus,108.0,18+,Universal,Action,8.0,3659.0,India
161,Gringo,110.0,18+,Amazon Studios and STX Entertainment,Action,6.1,25700.0,"Australia, USA, Mexico"
162,Gunfight at the O.K. Corral,122.0,13+,Paramount Pictures,Action,7.2,13635.0,USA
163,Tekken,91.0,18+,Crystal Sky Pictures,Action,4.8,25893.0,"Japan, USA"
165,The Sons of Katie Elder,121.0,13+,Paramount Pictures,Action,7.2,14117.0,USA
166,Replicant,100.0,18+,Artisan Entertainment,Action,5.4,13508.0,USA
167,Marauders,107.0,18+,Emmett/Furla Films,Action,5.5,18512.0,"Canada, USA"
169,Most Wanted,124.0,18+,New Line Home Entertainment,Action,5.6,5590.0,USA
170,Charlie's Angels,98.0,13+,Columbia Pictures,Action,4.7,49824.0,"Germany, USA"
174,The Expendables,103.0,18+,Lionsgate Films,Action,6.5,321130.0,"USA, Bulgaria, Spain, Germany"
178,Small Soldiers,109.0,13+,Dreamworks,Action,6.2,90196.0,USA
180,Basic,98.0,18+,Sony Pictures Entertainment,Action,6.5,58487.0,"Germany, USA"
